aa	polarity	hydropathy	volume	iso.electricity
X	-1.5993	1.672	-1.5833	-2.6562
A	-0.0796	0.6402	-0.9414	0.1086
R	0.7182	-1.391	0.9842	2.302
D	2.2	-1.0686	-0.4652	-1.3798
N	1.0602	-1.0686	-0.4238	-0.1633
C	-0.9154	0.8659	-0.4445	-0.3199
E	2.01	-1.0686	-1.4115	-1.1724
Q	0.5283	-1.0686	0.1767	-0.0527
G	0.2623	-0.0691	-1.5212	0.0948
H	0.4523	-0.9719	0.4045	0.8413
I	-0.8774	1.5108	0.7151	0.1178
L	-0.8774	1.2851	0.7151	0.0994
K	1.0982	-0.9074	0.8807	1.832
M	-0.7255	0.6725	0.5908	-0.0112
F	-0.8395	0.9627	1.1499	-0.131
P	-0.2316	-0.456	-0.9104	0.2469
S	0.1104	-0.1981	-0.9207	-0.0388
T	-0.2316	-0.1658	-0.3203	0.1823
W	-0.7635	-0.2303	1.9367	0.0579
Y	-0.6875	-0.3593	1.2327	-0.0481
V	-0.6115	1.4141	0.156	0.0902
